学校名称,计划数,最低分数
四川工业科技学院,10,455.173094107
贵州财经大学,2,520.222096105
贵州财经大学商务学院,4,484.206096074
大理大学,4,526.233101099
云南财经大学,5,533.220099102
云南民族大学,5,516.225100106
曲靖师范学院,3,515.213093090
云南警官学院,2,529.243096094
云南大学旅游文化学院,81,466.200099093
昆明医科大学海源学院,1,488.189102082
云南师范大学文理学院,7,493.207096097
昆明理工大学津桥学院,5,476.200102092
陕西中医药大学,2,544.224107093
延安大学,8,526.205108109
陕西理工大学,3,539.213103098
西安财经大学,13,541.233095112
咸阳师范学院,8,534.218105098
渭南师范学院,2,525.191098109
西安文理学院,4,533.220111091
榆林学院,3,515.226101103
商洛学院,2,515.219111110
安康学院,2,508.202115093
西安医学院,6,518.204104091
西安欧亚学院,8,467.203096064
西安外事学院,11,480.191093107
西安翻译学院,18,480.177095080
西京学院,4,490.202080106
西安思源学院,16,485.231090109
陕西国际商贸学院,10,475.189100075
陕西服装工程学院,4,470.197085088
西安交通工程学院,1,490.209093102
陕西科技大学镐京学院,10,482.192094068
西安交通大学城市学院,5,504.218093086
西安建筑科技大学华清学院,6,485.203095081
西安财经大学行知学院,6,491.193104079
西安工业大学北方信息工程学院,5,465.210086082
延安大学西安创新学院,10,489.203096107
西安科技大学高新学院,8,484.201092076
西安信息职业大学,1,465.210112061
西北师范大学,19,542.201106109
兰州财经大学,21,530.208111104
西北民族大学,50,516.201120078
甘肃政法学院,4,536.219102104
甘肃中医药大学,5,533.209108116
甘肃中医药大学,5,533.209108116
兰州城市学院,4,509.211105074
甘肃民族师范学院,6,510.190097118
天水师范学院,5,512.187098103
河西学院,2,514.206106088
西北师范大学知行学院,6,503.186105090
兰州财经大学长青学院,15,488.189103085
兰州理工大学技术工程学院,2,482.197099088
兰州文理学院,5,517.226108074
青海民族大学,8,506.178093110
青海大学昆仑学院,340,509.215101104
青海大学昆仑学院,340,509.215101104
北方民族大学,103,521.212102102
宁夏师范学院,534,517.198088117
宁夏理工学院,210,464.191097089
银川能源学院,733,455.154088086
宁夏大学新华学院,698,483.192096107
中国矿业大学银川学院,690,455.172110084
塔里木大学,5,508.226111083
新疆财经大学,8,505.181092115
新疆师范大学,8,521.205097111
喀什大学,12,508.185103106
