基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
007164,浦银安盛环保新能源C,2.0490,2.0490,-0.70%,8.90%,27.47%,40.24%,51.33%,71.94%,---,---,7.06%,104.90%,71.9392%,0.00%
000496,长安产业精选混合A,1.6370,1.8770,0.06%,9.90%,27.39%,36.78%,26.01%,22.70%,58.58%,30.39%,7.48%,104.2827%,22.7045%,0.15%
002071,长安产业精选混合C,1.6025,1.6525,0.06%,9.90%,27.33%,36.60%,25.70%,22.09%,56.52%,27.84%,7.47%,62.0741%,22.0859%,0.00%
002959,汇添富盈泰混合,2.3210,2.3210,1.44%,9.17%,27.32%,38.48%,50.23%,94.39%,115.91%,117.32%,6.61%,132.10%,94.3886%,0.12%
160630,鹏华中证国防指数(LOF),1.5110,1.4050,1%,13.78%,27.30%,37.10%,65.38%,94.89%,138.80%,82.07%,9.18%,42.4949%,94.8928%,0.12%
000755,富安达新兴成长混合,2.0668,2.0668,-0.20%,10.46%,27.26%,28.62%,33.32%,58.53%,173.71%,57.78%,7.74%,106.68%,58.5334%,0.15%
000993,华宝稳健回报混合,1.83,1.83,0.49%,10.11%,27.17%,35.96%,55.61%,112.54%,174.36%,83.92%,7.96%,83%,112.5436%,0.15%
004987,诺德新享灵活配置混合,2.5354,2.5354,0.23%,10.34%,27.04%,48.53%,68.28%,106.58%,134.48%,132.20%,8.36%,153.54%,106.5836%,0.15%
000535,长盛航天海工装备灵活配置混合,1.8060,2.3210,1.06%,13.16%,27%,29.46%,67.53%,82.79%,114.49%,68.94%,8.21%,177.3537%,82.7935%,0.15%
005368,富国清洁能源产业混合,1.9471,1.9471,-0.66%,9.53%,27%,31.17%,59.34%,---,---,---,6.84%,94.6905%,94.6905%,0.15%
481015,工银主题策略混合,5.1020,5.1020,-0.06%,8.16%,26.88%,42.08%,69.50%,131.49%,283.32%,133.39%,5.33%,410.20%,131.4882%,0.15%
004640,华夏节能环保股票,2.2508,2.2508,0.20%,8.91%,26.87%,39.50%,68.57%,117.70%,226.11%,145.75%,6.66%,125.08%,117.7000%,0.15%
164402,前海开源中航军工指数,1.2340,1.2340,1.31%,13.63%,26.82%,36.05%,63.05%,77.57%,119.70%,64.93%,8.34%,27.3855%,77.5658%,0.12%
160632,鹏华酒,1.1560,2.4240,0.17%,10.31%,26.78%,56.85%,75.19%,142.43%,343.98%,220.64%,8.54%,366.1174%,142.4252%,0.12%
006265,红土创新新科技股票,3.4507,3.4507,-0.73%,8.92%,26.70%,44.02%,57.83%,108.17%,263.65%,---,5.89%,245.07%,108.1745%,0.15%
580009,东吴多策略灵活配置混合,1.9909,2.7539,0.04%,10.96%,26.70%,29.31%,35.68%,67.36%,144.94%,95.03%,6.66%,270.3555%,67.3587%,0.15%
007689,国投瑞银新能源混合A,2.2441,2.3141,-0.82%,10.01%,26.63%,40.05%,53.09%,115.50%,---,---,7.39%,139.3365%,---,0.15%
007690,国投瑞银新能源混合C,2.2339,2.3039,-0.83%,10%,26.58%,39.90%,52.78%,114.65%,---,---,7.38%,138.2586%,---,0.00%
001790,国泰智能汽车股票,2.4450,2.4450,-2.40%,7.85%,26.55%,51.58%,68.97%,113.16%,246.32%,140.89%,6.40%,144.50%,113.1648%,0.15%
001102,前海开源国家比较优势混合,4.1460,4.1460,1.49%,10%,26.52%,38.66%,51.42%,127.68%,291.87%,176.03%,7.38%,314.60%,127.6771%,0.15%
008177,建信高股息主题股票,1.6479,1.7984,0.27%,9.50%,26.50%,42.82%,68.93%,---,---,---,7.02%,86.3766%,86.3766%,0.15%
005894,华夏优势精选股票,2.1807,2.1807,0.64%,9.69%,26.42%,37.32%,34.38%,65.87%,135.60%,---,6.99%,118.07%,65.8705%,0.15%
005049,长安鑫旺价值混合A,3.2480,3.2480,0.72%,10.75%,26.40%,41.05%,62.84%,97.69%,252.24%,183.94%,8.65%,224.7675%,97.6871%,0.12%
005050,长安鑫旺价值混合C,3.2610,3.2610,0.72%,10.75%,26.38%,41%,62.72%,97.40%,253.65%,185.43%,8.65%,226.0674%,97.3971%,0.00%
161028,富国中证新能源汽车指数,1.1240,1.3810,-1.40%,7.77%,26.36%,56.10%,63.56%,96%,197.95%,87.21%,5.94%,71.3705%,95.9958%,0.12%
